DEC,Subfleet,Alpha Tag,Mode,Description,Tag,Category
2105,,Berkeley FD1,D,Fire Dispatch 1,Fire Dispatch,Berkeley
2106,,Berkeley FD2,D,Fire Dispatch 2,Fire Dispatch,Berkeley
